season,team,win_rate
1983,	Carlton Blues,1.0
1983,	Essendon Bombers,0.0
1983,	Fitzroy Lions,1.0
1983,	Geelong Cats,0.0
1983,	Melbourne Demons,1.0
1983,	Richmond Tigers,0.0
1983,	St Kilda Saints,0.0
1983,Carlton Blues,0.6
1983,Collingwood Magpies,0.5714285714285714
1983,Essendon Bombers,0.75
1983,Fitzroy Lions,0.5555555555555556
1983,Geelong Cats,0.4117647058823529
1983,Hawthorn Hawks,0.6956521739130435
1983,Melbourne Demons,0.35
1983,North Melbourne Kangaroos,0.6666666666666666
1983,Richmond Tigers,0.2777777777777778
1983,St Kilda Saints,0.2631578947368421
1983,Sydney Swans,0.35
1983,W. Bulldogs,0.5454545454545454
1983,Western Bulldogs,0.375
1983,carlton blues,0.0
1983,collingwood magpies,0.0
1983,essendon bombers,0.0
1983,fitzroy lions,0.75
1983,geelong cats,0.25
1983,hawthorn hawks,1.0
1983,melbourne demons,1.0
1983,north melbourne kangaroos,0.6666666666666666
1983,richmond tigers,1.0
1983,st kilda saints,0.0
1983,sydney swans,0.0
1983,western bulldogs,0.3333333333333333
1984,	Essendon Bombers,1.0
1984,	Fitzroy Lions,0.0
1984,	Geelong Cats,1.0
1984,	Hawthorn Hawks,1.0
1984,	North Melbourne Kangaroos,1.0
1984,	Sydney Swans,1.0
1984,Carlton Blues,0.5238095238095238
1984,Collingwood Magpies,0.5909090909090909
1984,Essendon Bombers,0.782608695652174
1984,Fitzroy Lions,0.45
1984,Geelong Cats,0.5
1984,Hawthorn Hawks,0.75
1984,Melbourne Demons,0.4090909090909091
1984,North Melbourne Kangaroos,0.2
1984,Richmond Tigers,0.45454545454545453
1984,St Kilda Saints,0.23809523809523808
1984,Sydney Swans,0.35
1984,W. Bulldogs,0.7272727272727273
1984,Western Bulldogs,0.2727272727272727
1984,carlton blues,0.6666666666666666
1984,collingwood magpies,0.6666666666666666
1984,essendon bombers,1.0
1984,fitzroy lions,1.0
1984,geelong cats,0.0
1984,north melbourne kangaroos,0.0
1984,st kilda saints,0.0
1984,sydney swans,1.0
1985,	Carlton Blues,0.5
1985,	Richmond Tigers,1.0
1985,	Sydney Swans,0.0
1985,Carlton Blues,0.65
1985,Collingwood Magpies,0.45
1985,Essendon Bombers,0.8695652173913043
1985,Fitzroy Lions,0.3333333333333333
1985,Geelong Cats,0.5454545454545454
1985,Hawthorn Hawks,0.68
1985,Melbourne Demons,0.2727272727272727
1985,North Melbourne Kangaroos,0.5833333333333334
1985,Richmond Tigers,0.4
1985,St Kilda Saints,0.14285714285714285
1985,Sydney Swans,0.3
1985,W. Bulldogs,0.9166666666666666
1985,Western Bulldogs,0.5
1985,carlton blues,1.0
1985,collingwood magpies,0.5
1985,essendon bombers,1.0
1985,fitzroy lions,0.0
1985,hawthorn hawks,0.0
1985,richmond tigers,0.0
1985,st kilda saints,0.0
1985,sydney swans,0.0
1985,western bulldogs,0.0
1986,	Collingwood Magpies,0.0
1986,	Essendon Bombers,1.0
1986,	Melbourne Demons,1.0
1986,	Richmond Tigers,1.0
1986,Carlton Blues,0.7272727272727273
1986,Collingwood Magpies,0.631578947368421
1986,Essendon Bombers,0.47619047619047616
1986,Fitzroy Lions,0.6
1986,Geelong Cats,0.3684210526315789
1986,Hawthorn Hawks,0.782608695652174
1986,Melbourne Demons,0.3
1986,North Melbourne Kangaroos,0.631578947368421
1986,Richmond Tigers,0.2777777777777778
1986,St Kilda Saints,0.11764705882352941
1986,Sydney Swans,0.6818181818181818
1986,W. Bulldogs,0.7272727272727273
1986,Western Bulldogs,0.2727272727272727
1986,carlton blues,0.3333333333333333
1986,collingwood magpies,0.0
1986,essendon bombers,1.0
1986,geelong cats,0.0
1986,hawthorn hawks,1.0
1986,melbourne demons,0.0
1986,north melbourne kangaroos,0.0
1986,richmond tigers,0.3333333333333333
1986,st kilda saints,0.0
1986,sydney swans,0.5
1987,	Collingwood Magpies,1.0
1987,	Fitzroy Lions,0.5
1987,	Geelong Cats,1.0
1987,	North Melbourne Kangaroos,1.0
1987,	W. Bulldogs,1.0
1987,	West Coast Eagles,1.0
1987,Brisbane Bears,0.25
1987,Carlton Blues,0.8
1987,Collingwood Magpies,0.2857142857142857
1987,Essendon Bombers,0.4090909090909091
1987,Fitzroy Lions,0.3888888888888889
1987,Geelong Cats,0.47058823529411764
1987,Hawthorn Hawks,0.7391304347826086
1987,Melbourne Demons,0.5833333333333334
1987,North Melbourne Kangaroos,0.5555555555555556
1987,Richmond Tigers,0.22727272727272727
1987,St Kilda Saints,0.42105263157894735
1987,Sydney Swans,0.6
1987,W. Bulldogs,0.5454545454545454
1987,West Coast Eagles,0.5
1987,Western Bulldogs,0.5
1987,brisbane bears,0.5
1987,carlton blues,1.0
1987,fitzroy lions,0.0
1987,geelong cats,0.3333333333333333
1987,hawthorn hawks,0.6666666666666666
1987,melbourne demons,0.0
1987,north melbourne kangaroos,0.5
1987,st kilda saints,0.3333333333333333
1987,sydney swans,0.75
1987,west coast eagles,0.3333333333333333
1987,western bulldogs,0.0
1988,	Carlton Blues,1.0
1988,	Collingwood Magpies,0.0
1988,	Fitzroy Lions,1.0
1988,	Melbourne Demons,1.0
1988,	Sydney Swans,1.0
1988,	West Coast Eagles,1.0
1988,Brisbane Bears,0.3181818181818182
1988,Carlton Blues,0.6363636363636364
1988,Collingwood Magpies,0.6190476190476191
1988,Essendon Bombers,0.5789473684210527
1988,Fitzroy Lions,0.3
1988,Geelong Cats,0.47368421052631576
1988,Hawthorn Hawks,0.875
1988,Melbourne Demons,0.5833333333333334
1988,North Melbourne Kangaroos,0.3333333333333333
1988,Richmond Tigers,0.36363636363636365
1988,St Kilda Saints,0.19047619047619047
1988,Sydney Swans,0.5238095238095238
1988,W. Bulldogs,0.6363636363636364
1988,West Coast Eagles,0.47368421052631576
1988,Western Bulldogs,0.4
1988,carlton blues,0.5
1988,collingwood magpies,1.0
1988,essendon bombers,0.3333333333333333
1988,fitzroy lions,0.0
1988,geelong cats,0.3333333333333333
1988,melbourne demons,1.0
1988,north melbourne kangaroos,0.0
1988,st kilda saints,0.0
1988,west coast eagles,1.0
1988,western bulldogs,0.0
1989,	Brisbane Bears,1.0
1989,	Carlton Blues,1.0
1989,	Collingwood Magpies,1.0
